     #Energy         O_s         O_p        Mo_s        Mo_p        Mo_d
   -55.90717     0.00000     0.00000     0.00000     0.00000     0.00000
   -55.88417     0.00000     0.00000     0.00000     0.00000     0.00000
   -55.86117     0.00000     0.00000     0.00000     0.00000     0.00000
   -55.83817     0.00000     0.00000     0.00000     0.00000     0.00000
   -55.81417     0.00000     0.00000     0.00000     0.00000     0.00000
   -55.79117     0.00000     0.00000     0.00000     0.00000     0.00000
   -55.76817     0.00000     0.00000     0.00000     0.00000     0.00000
   -55.74517     0.00000     0.00000     0.00000     0.00000     0.00000
   -55.72217     0.00000     0.00000     0.00000     0.00000     0.00000
   -55.69917     0.00000     0.00000     0.00000     0.00000     0.00000
   -55.67517     0.00000     0.00000     0.00000     0.00000     0.00000
   -55.65217     0.00000     0.00000     0.00000     0.00000     0.00000
   -55.62917     0.00000     0.00000     0.00000     0.00000     0.00000
   -55.60617     0.00000     0.00000     0.00000     0.00000     0.00000
   -55.58317     0.00000     0.00000     0.00000     0.00000     0.00000
   -55.55917     0.00000     0.00000     0.00000     0.00000     0.00000
   -55.53617     0.00000     0.00000     0.00000     0.00000     0.00000
   -55.51317     0.00000     0.00000     0.00000     0.00000     0.00000
   -55.49017     0.00000     0.00000     0.00000     0.00000     0.00000
   -55.46717     0.00000     0.00000     0.00000     0.00000     0.00000
   -55.44417     0.00000     0.00000     0.00000     0.00000     0.00000
   -55.42017     0.00000     0.00000     0.00000     0.00000     0.00000
   -55.39717     0.00000     0.00000     0.00000     0.00000     0.00000
   -55.37417     0.00000     0.00000     0.00000     0.00000     0.00000
   -55.35117     0.00000     0.00000     0.00000     0.00000     0.00000
   -55.32817     0.00000     0.00000     0.00000     0.00000     0.00000
   -55.30417     0.00000     0.00000     0.00000     0.00000     0.00000
   -55.28117     0.00000     0.00000     0.00000     0.00000     0.00000
   -55.25817     0.00000     0.00000     0.00000     0.00000     0.00000
   -55.23517     0.00000     0.00000     0.00000     0.00000     0.00000
   -55.21217     0.00000     0.00000     0.00000     0.00000     0.00000
   -55.18917     0.00000     0.00000     0.00000     0.00000     0.00000
   -55.16517     0.00000     0.00000     0.00000     0.00000     0.00000
   -55.14217     0.00000     0.00000     0.00000     0.00000     0.00000
   -55.11917     0.00000     0.00000     0.00000     0.00000     0.00000
   -55.09617     0.00000     0.00000     0.00000     0.00000     0.00000
   -55.07317     0.00000     0.00000     0.00000     0.00000     0.00000
   -55.04917     0.00000     0.00000     0.00000     0.00000     0.00000
   -55.02617     0.00000     0.00000     0.00000     0.00000     0.00000
   -55.00317     0.00000     0.00000     0.00000     0.00000     0.00000
   -54.98017     0.00000     0.00000     0.00000     0.00000     0.00000
   -54.95717     0.00000     0.00000     0.00000     0.00000     0.00000
   -54.93417     0.00000     0.00000     0.00000     0.00000     0.00000
   -54.91017     0.00000     0.00000     0.00000     0.00000     0.00000
   -54.88717     0.00000     0.00000     0.00000     0.00000     0.00000
   -54.86417     0.00000     0.00000     0.00000     0.00000     0.00000
   -54.84117     0.00000     0.00000     0.00000     0.00000     0.00000
   -54.81817     0.00000     0.00000     0.00000     0.00000     0.00000
   -54.79417     0.00000     0.00000     0.00000     0.00000     0.00000
   -54.77117     0.00000     0.00000     0.00000     0.00000     0.00000
   -54.74817     0.00000     0.00000     0.00000     0.00000     0.00000
   -54.72517     0.00000     0.00000     0.00000     0.00000     0.00000
   -54.70217     0.00000     0.00000     0.00000     0.00000     0.00000
   -54.67917     0.00000     0.00000     0.00000     0.00000     0.00000
   -54.65517     0.00000     0.00000     0.00000     0.00000     0.00000
   -54.63217     0.00000     0.00000     0.00000     0.00000     0.00000
   -54.60917     0.00000     0.00000     0.00000     0.00000     0.00000
   -54.58617     0.00000     0.00000     0.00000     0.00000     0.00000
   -54.56317     0.00000     0.00000     0.00000     0.00000     0.00000
   -54.53917     0.00000     0.00000     0.00000     0.00000     0.00000
   -54.51617     0.00000     0.00000     0.00000     0.00000     0.00000
   -54.49317     0.00000     0.00000     0.00000     0.00000     0.00000
   -54.47017     0.00000     0.00000     0.00000     0.00000     0.00000
   -54.44717     0.00000     0.00000     0.00000     0.00000     0.00000
   -54.42317     0.00000     0.00000     0.00000     0.00000     0.00000
   -54.40017     0.00000     0.00000     0.00000     0.00000     0.00000
