Tue Jun 02 09:08:45 2020

Number of Points = 3029
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
-14.352104	-4.737546	2.640435	0.002785	0.455851
-14.094690	-4.747372	2.650432	0.002739	0.456146
-14.006752	-4.774532	2.660429	0.002723	0.456159
-14.098358	-4.743171	2.670426	0.002740	0.456155
-14.005515	-4.762985	2.680422	0.002723	0.456201
-13.986632	-4.688358	2.690419	0.002720	0.456497
-13.883466	-4.723899	2.700416	0.002701	0.456499
-13.939973	-4.682557	2.710413	0.002711	0.456577
-13.663834	-4.719939	2.720410	0.002662	0.456795
-13.737380	-4.693554	2.730406	0.002675	0.456796
-13.600658	-4.741870	2.740403	0.002650	0.456795
-13.575847	-4.673446	2.750400	0.002646	0.457075
-13.526373	-4.683288	2.760397	0.002637	0.457102
-13.422219	-4.720227	2.770394	0.002618	0.457101
-13.217921	-4.754238	2.780390	0.002582	0.457238
-13.201559	-4.712601	2.790387	0.002579	0.457410
-13.047859	-4.764432	2.800384	0.002551	0.457418
-13.121796	-4.739047	2.810381	0.002564	0.457415
-13.164423	-4.705458	2.820378	0.002572	0.457482
-12.863057	-4.740798	2.830374	0.002518	0.457739
-12.770170	-4.771722	2.840371	0.002501	0.457745
-12.853380	-4.743283	2.850368	0.002516	0.457741
-12.874479	-4.736316	2.860365	0.002520	0.457739
-12.875171	-4.662418	2.870362	0.002520	0.458006
-12.679744	-4.723224	2.880358	0.002485	0.458035
-12.603123	-4.747927	2.890355	0.002471	0.458042
-12.581335	-4.733722	2.900352	0.002468	0.458121
-12.351656	-4.749272	2.910349	0.002426	0.458358
-12.500138	-4.696109	2.920346	0.002453	0.458361
-12.576986	-4.669258	2.930342	0.002467	0.458359
-12.182059	-4.734013	2.940339	0.002396	0.458629
-12.280988	-4.687009	2.950336	0.002414	0.458672
-12.107436	-4.747524	2.960333	0.002382	0.458674
-12.118657	-4.742705	2.970330	0.002385	0.458676
-11.887210	-4.787135	2.980326	0.002343	0.458811
-11.783634	-4.771243	2.990323	0.002324	0.459000
-11.583054	-4.839842	3.000320	0.002288	0.459007
-11.786136	-4.767124	3.010317	0.002325	0.459010
-11.642219	-4.817534	3.020314	0.002299	0.459011
-11.715442	-4.794044	3.030310	0.002312	0.459002
-11.587108	-4.838248	3.040307	0.002289	0.459005
-11.550007	-4.786187	3.050304	0.002283	0.459240
-11.556458	-4.781215	3.060301	0.002284	0.459250
-11.479500	-4.809245	3.070298	0.002270	0.459246
-11.499159	-4.798903	3.080294	0.002274	0.459257
