Tue Jun 02 08:54:38 2020

Number of Points = 2985
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
-7.722614	-4.179548	3.400192	0.001781	0.474782
-7.642999	-4.209051	3.410189	0.001767	0.474779
-7.496485	-4.259736	3.420186	0.001740	0.474784
-7.592561	-4.195559	3.430182	0.001757	0.474892
-7.369484	-4.213883	3.440179	0.001717	0.475105
-7.308453	-4.235084	3.450176	0.001705	0.475108
-7.298157	-4.240155	3.460173	0.001703	0.475104
-7.252384	-4.255744	3.470170	0.001695	0.475108
-7.062882	-4.253560	3.480166	0.001660	0.475351
-7.028419	-4.250148	3.490163	0.001654	0.475408
-7.095167	-4.228846	3.500160	0.001665	0.475402
-7.023950	-4.253246	3.510157	0.001652	0.475406
-6.950768	-4.273455	3.520154	0.001639	0.475427
-6.797611	-4.245246	3.530150	0.001611	0.475716
-6.835154	-4.231791	3.540147	0.001617	0.475719
-6.850449	-4.226816	3.550144	0.001620	0.475719
-6.783088	-4.232549	3.560141	0.001607	0.475784
-6.609189	-4.224653	3.570138	0.001576	0.476028
-6.551682	-4.244420	3.580134	0.001565	0.476031
-6.561175	-4.241712	3.590131	0.001567	0.476031
-6.436554	-4.274909	3.600128	0.001544	0.476070
-6.370362	-4.214278	3.610125	0.001532	0.476365
-6.396131	-4.206696	3.620122	0.001536	0.476362
-6.223907	-4.266637	3.630118	0.001505	0.476366
-6.204201	-4.269587	3.640115	0.001501	0.476382
-6.032060	-4.248874	3.650112	0.001469	0.476668
-5.949644	-4.278729	3.660109	0.001454	0.476667
-6.048226	-4.244711	3.670106	0.001472	0.476666
-5.953694	-4.278410	3.680102	0.001454	0.476666
-5.951345	-4.226067	3.690099	0.001454	0.476854
-5.844275	-4.226686	3.700096	0.001434	0.476985
-5.734064	-4.265732	3.710093	0.001414	0.476986
-5.699666	-4.277654	3.720090	0.001407	0.476988
-5.722811	-4.209022	3.730086	0.001411	0.477201
-5.488868	-4.265872	3.740083	0.001369	0.477292
-5.619975	-4.219337	3.750080	0.001392	0.477295
-5.420885	-4.289013	3.760077	0.001356	0.477298
-5.349469	-4.249237	3.770074	0.001343	0.477526
-5.307380	-4.237820	3.780070	0.001335	0.477620
-5.340924	-4.226457	3.790067	0.001341	0.477620
-5.324487	-4.232002	3.800064	0.001337	0.477622
-5.339528	-4.146000	3.810061	0.001340	0.477905
-5.211625	-4.185260	3.820058	0.001317	0.477927
-5.293077	-4.130639	3.830054	0.001331	0.478019
-4.859873	-4.218699	3.840051	0.001252	0.478246
-5.006005	-4.168296	3.850048	0.001279	0.478244
-5.041489	-4.155260	3.860045	0.001285	0.478247
-4.870154	-4.126561	3.870042	0.001254	0.478559
-4.795416	-4.154417	3.880038	0.001240	0.478555
-4.828494	-4.142971	3.890035	0.001245	0.478556
-4.691201	-4.101776	3.900032	0.001220	0.478869
-4.660529	-4.106878	3.910029	0.001215	0.478891
-4.604016	-4.128402	3.920026	0.001204	0.478887
-4.540201	-4.088936	3.930022	0.001192	0.479104
-4.553672	-4.080447	3.940019	0.001194	0.479119
-4.590409	-4.038209	3.950016	0.001201	0.479222
-4.428157	-4.036490	3.960013	0.001171	0.479428
-4.482252	-4.014087	3.970010	0.001181	0.479442
-4.346988	-3.979370	3.980006	0.001156	0.479729
-4.221085	-4.025024	3.990003	0.001133	0.479726
-4.456755	-3.880351	4.000000	0.001175	0.479942
-4.202405	-3.939476	4.009997	0.001129	0.480049
-4.167501	-3.891823	4.019994	0.001123	0.480258
-4.127368	-3.878636	4.029990	0.001115	0.480355
-4.056666	-3.858750	4.039987	0.001102	0.480512
-4.013959	-3.827220	4.049984	0.001094	0.480675
-3.952906	-3.811077	4.059981	0.001083	0.480807
