     #Energy        Mo_s        Mo_p        Mo_d         O_s         O_p
   -55.94170     0.00000     0.00000     0.00000     0.00000     0.00000
   -55.91870     0.00000     0.00000     0.00000     0.00000     0.00000
   -55.89570     0.00000     0.00000     0.00000     0.00000     0.00000
   -55.87170     0.00000     0.00000     0.00000     0.00000     0.00000
   -55.84870     0.00000     0.00000     0.00000     0.00000     0.00000
   -55.82570     0.00000     0.00000     0.00000     0.00000     0.00000
   -55.80270     0.00000     0.00000     0.00000     0.00000     0.00000
   -55.77970     0.00000     0.00000     0.00000     0.00000     0.00000
   -55.75670     0.00000     0.00000     0.00000     0.00000     0.00000
   -55.73270     0.00000     0.00000     0.00000     0.00000     0.00000
   -55.70970     0.00000     0.00000     0.00000     0.00000     0.00000
   -55.68670     0.00000     0.00000     0.00000     0.00000     0.00000
   -55.66370     0.00000     0.00000     0.00000     0.00000     0.00000
   -55.64070     0.00000     0.00000     0.00000     0.00000     0.00000
   -55.61670     0.00000     0.00000     0.00000     0.00000     0.00000
   -55.59370     0.00000     0.00000     0.00000     0.00000     0.00000
   -55.57070     0.00000     0.00000     0.00000     0.00000     0.00000
   -55.54770     0.00000     0.00000     0.00000     0.00000     0.00000
   -55.52470     0.00000     0.00000     0.00000     0.00000     0.00000
   -55.50070     0.00000     0.00000     0.00000     0.00000     0.00000
   -55.47770     0.00000     0.00000     0.00000     0.00000     0.00000
   -55.45470     0.00000     0.00000     0.00000     0.00000     0.00000
   -55.43170     0.00000     0.00000     0.00000     0.00000     0.00000
   -55.40870     0.00000     0.00000     0.00000     0.00000     0.00000
   -55.38570     0.00000     0.00000     0.00000     0.00000     0.00000
   -55.36170     0.00000     0.00000     0.00000     0.00000     0.00000
   -55.33870     0.00000     0.00000     0.00000     0.00000     0.00000
   -55.31570     0.00000     0.00000     0.00000     0.00000     0.00000
   -55.29270     0.00000     0.00000     0.00000     0.00000     0.00000
   -55.26970     0.00000     0.00000     0.00000     0.00000     0.00000
   -55.24570     0.00000     0.00000     0.00000     0.00000     0.00000
   -55.22270     0.00000     0.00000     0.00000     0.00000     0.00000
   -55.19970     0.00000     0.00000     0.00000     0.00000     0.00000
   -55.17670     0.00000     0.00000     0.00000     0.00000     0.00000
   -55.15370     0.00000     0.00000     0.00000     0.00000     0.00000
   -55.12970     0.00000     0.00000     0.00000     0.00000     0.00000
   -55.10670     0.00000     0.00000     0.00000     0.00000     0.00000
   -55.08370     0.00000     0.00000     0.00000     0.00000     0.00000
   -55.06070     0.00000     0.00000     0.00000     0.00000     0.00000
   -55.03770     0.00000     0.00000     0.00000     0.00000     0.00000
   -55.01470     0.00000     0.00000     0.00000     0.00000     0.00000
   -54.99070     0.00000     0.00000     0.00000     0.00000     0.00000
   -54.96770     0.00000     0.00000     0.00000     0.00000     0.00000
   -54.94470     0.00000     0.00000     0.00000     0.00000     0.00000
   -54.92170     0.00000     0.00000     0.00000     0.00000     0.00000
   -54.89870     0.00000     0.00000     0.00000     0.00000     0.00000
